ID_DISTRITO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,ID_MUNICIPIO,MUNICIPIO,DIST_LOC,LISTA_NOMINAL,PAN,PRI,PRD,PT,PVEM,PNA,MORENA,ES,PRI_PVEM_NA_ES,PRI_PVEM_NA,PRI_PVEM_ES,PRI_NA_ES,PRI_PVEM,PRI_NA,PRI_ES,PVEM_NA_ES,PVEM_NA,PVEM_ES,NA_ES,TERESA_CASTELL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS,FECHA,HORA_LLAMADA,HORA_CAPTURA,ORIGEN_CAPTURA,CAE,CLAVE_AUT
18,2399,B,1,0,2,52,"LERMA",4,726,66,172,79,6,11,1,135,3,0,0,1,0,2,2,0,0,0,0,0,14,0,9,501,2017-06-04,21:02:16.726,21:04:54.584,cap-54,18-66,6302
33,1043,C,3,0,1,26,"CHALCO",1,745,24,84,43,1,2,3,105,7,0,0,0,0,0,0,0,0,0,0,0,9,0,9,287,2017-06-04,21:02:47.815,21:04:52.718,cap-117,33-86,6203
16,1356,C,2,0,1,34,"ECATEPEC DE MORELOS",21,566,33,55,28,2,2,4,89,10,0,0,0,0,2,0,0,0,0,0,0,6,1,9,241,2017-06-04,21:02:48.522,21:04:51.643,cap-23,16-9,8651
18,2021,C,1,0,1,38,"HUIXQUILUCAN",17,552,136,114,20,5,1,2,49,4,0,0,0,0,1,0,0,0,0,0,0,5,0,10,347,2017-06-04,21:02:28.239,21:04:41.439,cap-32,18-22,2842
2,4598,B,1,0,2,97,"TEQUIXQUIAC",20,128,6,48,6,0,1,0,31,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,96,2017-06-04,21:05:44.448,21:04:39.173,cap-95,2-73,5236
12,987,C,2,0,1,26,"CHALCO",1,671,17,76,82,2,2,1,89,8,3,0,1,0,0,0,0,0,0,0,0,8,0,13,302,2017-06-04,21:02:27.148,21:04:27.003,cap-61,12-39,2080
22,2835,B,1,0,1,58,"NAUCALPAN DE JUAREZ",32,744,65,117,38,2,0,2,136,2,1,0,0,0,4,0,0,0,0,0,0,10,0,9,386,2017-06-04,21:02:13.494,21:04:22.213,cap-65,22-24,9550
37,5600,C,2,0,1,110,"TULTITLAN",38,693,28,84,74,1,6,2,117,3,0,1,0,0,2,0,0,0,0,0,0,11,0,12,341,2017-06-04,21:01:02.590,21:04:09.127,cap-13,37-71,9321
34,5346,B,1,0,1,107,"TOLUCA",36,718,76,123,151,2,1,2,118,2,0,0,0,0,0,0,0,0,0,0,0,20,0,2,497,2017-06-04,21:02:15.220,21:04:07.410,cap-48,34-55,9871
40,2170,C,2,0,1,41,"IXTAPAN DE LA SAL",9,691,41,146,91,5,3,3,112,2,0,0,0,1,1,0,2,0,1,0,0,17,1,15,441,2017-06-04,21:00:51.676,21:03:59.530,cap-35,40-4,4038
9,4077,B,1,0,2,75,"SAN FELIPE DEL PROGRESO",15,748,65,330,17,4,15,1,34,6,3,2,1,1,8,2,1,0,0,0,0,5,1,18,514,2017-06-04,21:01:10.425,21:03:47.734,cap-29,9-68,2450
32,932,C,2,0,1,122,"VALLE DE CHALCO SOLIDARIDAD",27,713,15,72,117,1,1,4,115,7,0,0,0,0,0,0,0,0,0,0,0,6,0,23,361,2017-06-04,21:01:28.772,21:03:33.682,cap-102,32-19,7466
27,2539,C,1,0,1,55,"METEPEC",35,692,41,110,80,28,1,3,108,3,0,1,0,0,0,0,1,0,0,0,0,12,2,9,399,2017-06-04,21:01:10.871,21:03:33.266,cap-57,27-21,6147
12,2163,B,1,0,1,40,"IXTAPALUCA",40,727,9,152,33,2,12,2,94,3,0,4,2,0,5,0,0,0,0,0,0,0,0,13,331,2017-06-04,21:00:59.993,21:03:26.360,cap-55,12-110,7320
11,1519,B,1,0,1,34,"ECATEPEC DE MORELOS",21,506,28,65,24,4,2,0,120,3,1,0,0,1,1,0,0,0,0,0,0,6,0,7,262,2017-06-04,21:00:59.007,21:02:54.348,cap-72,11-32,1193
22,2574,C,1,0,1,58,"NAUCALPAN DE JUAREZ",32,490,108,47,38,3,2,2,102,1,0,0,0,0,0,0,0,0,0,0,0,11,0,3,317,2017-06-04,21:00:08.502,21:02:51.049,cap-101,22-27,4338
28,4237,C,2,0,1,82,"TECAMAC",33,553,49,49,36,4,5,0,161,4,3,0,0,0,2,0,0,0,0,0,0,13,0,9,335,2017-06-04,20:59:30.744,21:02:29.166,cap-71,28-73,1833
